id,age,block_num,absent,high_prob,lp_1,lp_2,lp_3,low_prob,difference,hp_norm,lp_norm,diff_norm
53,child,4,1357.101838,1721.801758,1789.221227,3244.319737,1540.201903,2191.247622,469.4458644,0.828576454,1.054486196,-0.225909741
53,child,5,1358.980775,2139.165437,1402.452886,2410.046935,4595.380783,2802.626868,663.4614309,1.029422873,1.348698027,-0.319275153
53,child,6,1412.984935,1418.611193,2570.050776,1964.802206,1397.253156,1977.368713,558.7575198,0.682673151,0.951562019,-0.268888867
54,child,1,3725.43238,4187.713242,4993.892312,5027.579308,1795.750261,3939.07396,-248.6392814,0.916887528,0.862448686,0.054438841
54,child,2,5312.022781,3429.454601,4512.222051,4370.105505,3562.808991,4148.378849,718.924248,0.750869023,0.908275378,-0.157406355
54,child,3,4716.778421,4208.294308,3751.60873,3315.462351,6023.521781,4363.530954,155.2366458,0.921393692,0.9553823,-0.033988608
54,child,4,3866.095932,4897.345257,4070.186436,5806.514144,3401.875615,4426.192065,-471.1531922,1.072259375,0.969101766,0.103157609
54,child,5,3898.586194,4716.548968,11296.97698,10485.22675,9228.582265,10336.92867,5620.379698,1.032674558,2.263240203,-1.230565645
54,child,6,4387.906432,4192.834091,3349.574983,2937.401116,4088.62412,3458.533406,-734.3006849,0.918008723,0.757235742,0.160772981
55,child,1,1084.487518,1376.974072,2022.271236,1436.637104,1266.3095,1575.072613,198.0985411,1.206185449,1.379713465,-0.173528015
55,child,2,1103.887216,1182.64926,1571.245114,1475.150764,1058.613181,1368.336353,185.6870925,1.035963101,1.198619083,-0.162655981
55,child,3,869.1294034,993.6911265,1124.861717,1283.026695,1274.904251,1227.597555,233.9064281,0.870441791,1.075336376,-0.204894584
55,child,4,917.72813,1205.406337,1315.906763,1092.936933,1306.784749,1238.542815,33.13647838,1.055897575,1.084924075,-0.0290265
55,child,5,874.0981261,914.9140063,1098.932902,1292.558372,954.812407,1115.43456,200.520554,0.801435542,0.977085164,-0.175649622
55,child,6,964.8872773,1184.087401,1177.562395,1105.903387,1771.823168,1351.762983,167.675582,1.037222867,1.184101339,-0.146878472
76,child,1,1671.976153,2092.417169,1934.660792,2033.875883,2119.462252,2029.332976,-63.08419315,1.414556186,1.371908794,0.042647392
76,child,2,1631.794174,1881.970489,1364.688635,2317.215562,1324.424744,1668.776313,-213.1941758,1.272285965,1.128158329,0.144127636
76,child,3,1316.112773,1599.971891,1529.782534,1523.786783,2065.762758,1706.444025,106.4721345,1.081643837,1.153623182,-0.071979345
76,child,4,1191.846339,1359.656429,1494.820535,1178.308546,1313.68351,1328.93753,-30.71889892,0.919181147,0.898413965,0.020767182
76,child,5,1400.184353,1217.478251,1176.090598,1178.697765,863.5607955,1072.783053,-144.6951986,0.823063115,0.725243477,0.097819637
76,child,6,1044.312072,1087.135386,1223.629355,1337.979197,1412.014246,1324.540933,237.4055464,0.734946219,0.895441692,-0.160495474
101,adult,1,961.833779,1567.74199,1000.904477,1058.826526,1099.583269,1053.104757,-514.6372326,1.58290783,1.06329216,0.51961567
101,adult,2,897.3041614,1248.780608,1109.602534,890.707572,1559.749961,1186.686689,-62.09391908,1.260860916,1.19816632,0.062694596
101,adult,3,827.1673759,947.302818,1017.267103,1275.384506,1339.966416,1210.872675,263.5698568,0.956466726,1.222586274,-0.266119548
101,adult,4,729.9270233,928.820491,812.2579429,1043.469429,911.554098,922.4271566,-6.393334362,0.937805607,0.931350425,0.006455181
101,adult,5,722.9266882,1195.353508,890.4507989,736.0930443,994.006157,873.5166667,-321.8368413,1.20691698,0.881966791,0.324950189
101,adult,6,753.0896425,918.7773465,745.897179,800.795396,1099.010229,881.9009347,-36.87641183,0.927665308,0.890432165,0.037233143
102,adult,1,1446.54216,1697.280681,2009.247422,2085.051656,2296.317935,2130.205671,432.9249896,0.848201396,1.06455193,-0.216350533
102,adult,2,1722.84743,2448.451281,1638.055861,2463.331759,1605.185747,1902.191122,-546.2601582,1.223592431,0.950603624,0.272988807
102,adult,3,1620.825052,2349.909961,1628.875733,1854.86573,3886.158824,2456.633429,106.7234675,1.174347256,1.227681389,-0.053334133
102,adult,4,1278.332853,1806.314194,1565.069139,2207.414031,2241.448045,2004.643738,198.329544,0.902689955,1.001803436,-0.099113481
102,adult,5,1038.062898,2192.66007,1733.637214,1686.420441,965.808749,1461.955468,-730.7046016,1.095762977,0.730599649,0.365163329
102,adult,6,1571.017734,2009.472776,5333.867728,1817.004025,7492.990851,4881.287535,2871.814759,1.004216706,2.439381387,-1.435164682
103,adult,1,1383.098308,1542.850585,1386.503458,2348.572612,1461.250544,1732.108871,189.2582861,0.944088738,1.059898148,-0.11580941
103,adult,2,1370.240291,1557.479756,1455.783606,2029.643298,1032.551169,1505.992691,-51.48706552,0.953040503,0.921534951,0.031505552
103,adult,3,1293.442639,2157.721065,2402.414799,2756.302238,1619.948387,2259.555141,101.8340758,1.320335343,1.382648833,-0.06231349
103,adult,4,1540.203595,2296.446346,3017.458042,1428.691745,1530.229569,1992.126452,-304.3198943,1.405223003,1.219006017,0.186216985
103,adult,5,1356.159822,1475.109963,1691.656669,4010.683596,1672.542095,2458.29412,983.1841566,0.90263744,1.504259593,-0.601622152
103,adult,6,975.4155238,994.4269884,2115.923563,1425.509095,1034.54721,1525.326623,530.8996344,0.608501775,0.933365615,-0.32486384
104,adult,1,2115.385421,2606.208229,3058.092714,1537.238121,1793.56122,2129.630685,-476.5775442,1.46149183,1.194239897,0.267251933
104,adult,2,1747.481481,2036.963403,2481.669247,1956.508636,2269.479036,2235.88564,198.9222366,1.142274565,1.253824832,-0.111550267
104,adult,3,1693.63606,2060.755563,1561.836481,1956.250847,1412.085057,1643.390795,-417.364768,1.155616572,0.921569579,0.234046993
104,adult,4,1447.679559,1807.165504,1667.22256,1600.824058,1344.415427,1537.487348,-269.6781555,1.013410053,0.86218176,0.151228293
104,adult,5,1303.541454,1495.973599,2023.023546,1626.460791,1386.772871,1678.752402,182.7788036,0.83890196,0.941399422,-0.102497462
104,adult,6,1349.947325,1629.397821,1931.797207,1558.221102,1247.716666,1579.244991,-50.1528301,0.913722694,0.885598329,0.028124365
105,adult,1,1495.782463,1705.049551,1619.271696,1363.797724,1273.954868,1419.008096,-286.0414546,1.076991983,0.896314328,0.180677654
105,adult,2,1697.133247,1779.319859,2066.441775,1785.715044,1582.255841,1811.470886,32.15102767,1.123904711,1.144212859,-0.020308148
105,adult,3,1590.569226,1481.062353,1520.220697,1521.319807,1525.422335,1522.320946,41.2585933,0.935510806,0.961571735,-0.026060928
105,adult,4,1350.801555,1601.552355,1427.492678,1480.219245,1741.564036,1549.758653,-51.79370243,1.011618135,0.978902721,0.032715414
105,adult,5,1504.2998,1535.01054,1668.547273,1417.130053,1323.110938,1469.596088,-65.41445253,0.969587098,0.928268157,0.041318941
105,adult,6,1620.455209,1828.517282,1598.280668,1366.854072,1640.309453,1535.148064,-293.3692179,1.15498019,0.969673965,0.185306225
106,adult,1,951.305302,974.3475914,1067.211449,1350.14081,809.5670935,1075.639784,101.2921928,0.974368053,1.075662373,-0.10129432
106,adult,2,934.096384,1068.439877,1179.746926,1138.371647,982.394457,1100.17101,31.73113273,1.068462315,1.100194114,-0.031731799
106,adult,3,1066.234191,1001.960957,1256.626427,1219.635129,775.6301165,1083.963891,82.00293383,1.001981999,1.083986655,-0.082004656
106,adult,4,961.1753861,921.5103865,1620.36562,995.8942533,1180.481672,1265.580515,344.0701286,0.921529739,1.265607093,-0.344077354
106,adult,5,918.6926206,944.7713017,1160.94482,1241.170943,942.171216,1114.762326,169.9910245,0.944791142,1.114785737,-0.169994594
106,adult,6,780.7260514,888.1470323,1016.249418,996.778667,831.2393425,948.0891426,59.94211033,0.888165684,0.948109053,-0.059943369
107,adult,1,1017.707173,1033.556552,1133.331617,883.53461,967.365384,994.7438702,-38.81268192,1.108778289,1.067140839,0.04163745
107,adult,2,1031.50843,1033.168475,1175.7586,928.679705,1069.563985,1058.000763,24.83228848,1.108361967,1.135001538,-0.02663957
107,adult,3,958.1131062,955.4972535,1065.821648,1090.311289,1239.594698,1131.909211,176.4119579,1.025037873,1.214289006,-0.189251133
107,adult,4,838.8349454,864.4689946,1049.001773,829.70196,989.34567,956.0164678,91.54747321,0.927384622,1.025594875,-0.098210253
107,adult,5,697.7161011,702.717429,1031.729778,779.9580098,1053.81763,955.1684725,252.4510434,0.753860857,1.024685163,-0.270824306
107,adult,6,813.5448298,842.6688739,800.5080223,829.224348,1050.799012,893.5104608,50.84158687,0.903997899,0.958539712,-0.054541813
109,adult,1,1142.164548,1532.286346,1084.461451,1148.483038,1368.373513,1200.439334,-331.8470122,1.445080097,1.132119329,0.312960769
109,adult,2,981.8256299,1206.644488,1417.227567,1487.677574,1364.292145,1423.065762,216.4212744,1.137971332,1.34207553,-0.204104198
109,adult,3,831.9699605,996.6849805,1270.258427,1049.294055,999.2245435,1106.259008,109.5740277,0.939961145,1.043299041,-0.103337896
109,adult,4,957.2887818,1190.040267,1333.512187,1219.173014,1027.927518,1193.537573,3.4973065,1.122312098,1.125610364,-0.003298266
109,adult,5,928.7004153,937.5713229,1066.966951,959.218979,951.9171715,992.7010338,55.12971085,0.884211794,0.936203935,-0.051992141
109,adult,6,770.8695332,777.9183269,761.6005538,1152.355135,834.884405,916.2800312,138.3617043,0.733645049,0.864132243,-0.130487194
110,adult,1,1079.307143,1255.048084,936.0153675,1158.701062,1205.605269,1100.107233,-154.9408516,1.134226839,0.994201867,0.140024972
110,adult,2,1084.866413,1266.971385,957.044184,1192.707002,840.198517,996.6499011,-270.3214843,1.145002305,0.900704189,0.244298116
110,adult,3,927.4065256,1260.939121,1164.263785,1627.625346,1410.079598,1400.656243,139.7171218,1.139550756,1.265817559,-0.126266803
110,adult,4,824.4347334,1053.4639,1069.841087,1299.552679,1105.179548,1158.191105,104.7272044,0.952048805,1.046694108,-0.094645303
110,adult,5,977.0627577,1188.31712,1738.452017,1045.760691,930.346966,1238.186558,49.86943807,1.073919946,1.118988542,-0.045068596
110,adult,6,909.7001791,1187.615025,1060.563028,1020.976544,943.92097,1008.486847,-179.1281779,1.07328544,0.911401613,0.161883827
111,adult,1,751.2035449,808.6032152,758.736193,978.726506,686.147332,807.8700103,-0.733204817,1.011290003,1.010373011,0.000916992
111,adult,2,679.6090683,775.6833077,680.85742,737.019956,730.1098105,715.9957288,-59.68757882,0.970118297,0.89546926,0.074649038
111,adult,3,744.7837989,951.3124824,1396.542728,1640.501201,1203.683734,1413.575888,462.2634054,1.189771182,1.76790685,-0.578135669
111,adult,4,728.2133102,802.9839635,928.3463955,735.1694703,931.0309885,864.8489514,61.86498797,1.004262213,1.081634456,-0.077372242
111,adult,5,663.0221129,679.4960501,860.1698875,813.4410978,841.866493,838.4924928,158.9964427,0.849820467,1.048671412,-0.198850944
111,adult,6,645.6036568,799.8034239,696.247101,923.7084988,543.87176,721.2757866,-78.52763727,1.000284431,0.902072832,0.098211599
