"id","age","relative_hp_dist","rt","block_num"
14,"adult","absent",669.530392,5
14,"adult","high_prob",648.576021,5
14,"adult","absent",597.595453,5
14,"adult","absent",655.190945,5
14,"adult","absent",580.798864,5
14,"adult","lp_2",851.814032,5
14,"adult","absent",648.172617,6
14,"adult","lp_2",637.214184,6
14,"adult","lp_2",591.559887,6
14,"adult","lp_2",644.049883,6
14,"adult","absent",690.850735,6
14,"adult","high_prob",825.306654,6
14,"adult","absent",529.533625,6
14,"adult","high_prob",713.185787,6
14,"adult","absent",620.988131,6
14,"adult","high_prob",659.996986,6
14,"adult","absent",717.1731,6
14,"adult","lp_1",1368.983984,6
14,"adult","absent",594.933748,6
14,"adult","absent",601.93038,6
14,"adult","absent",714.719772,6
14,"adult","high_prob",635.382175,6
14,"adult","absent",559.549809,6
14,"adult","high_prob",850.797176,6
14,"adult","high_prob",653.088093,6
14,"adult","high_prob",645.698071,6
14,"adult","absent",493.163109,6
14,"adult","absent",542.175055,6
14,"adult","absent",684.616089,6
14,"adult","high_prob",613.558769,6
14,"adult","high_prob",554.005146,6
14,"adult","lp_2",1007.066011,6
14,"adult","absent",837.95476,6
14,"adult","lp_1",641.825914,6
14,"adult","absent",620.705366,6
14,"adult","high_prob",739.86721,6
14,"adult","lp_1",999.867678,6
14,"adult","absent",566.866636,6
14,"adult","high_prob",773.180962,6
14,"adult","absent",693.696976,6
14,"adult","lp_3",941.281319,6
14,"adult","absent",577.903748,6
14,"adult","absent",809.51643,6
14,"adult","high_prob",671.170712,6
14,"adult","absent",802.201748,6
14,"adult","absent",659.139156,6
14,"adult","high_prob",719.750881,6
14,"adult","absent",577.81291,6
14,"adult","absent",631.507874,6
14,"adult","high_prob",560.563803,6
14,"adult","absent",613.327742,6
14,"adult","high_prob",643.942118,6
14,"adult","absent",916.870594,6
14,"adult","absent",672.365665,6
14,"adult","absent",562.968731,6
14,"adult","high_prob",635.942698,6
14,"adult","absent",673.062325,6
14,"adult","high_prob",834.323883,6
14,"adult","absent",578.653097,6
14,"adult","lp_3",898.264647,6
14,"adult","high_prob",865.709543,6
14,"adult","high_prob",566.502094,6
14,"adult","absent",747.713566,6
14,"adult","absent",605.168104,6
15,"adult","lp_1",1792.299986,1
15,"adult","high_prob",1250.175953,1
